6443
ACOT13	42.745	33.46	23.571	36.645	83.946	66.948	84.757	17.686	18.766	18.993	231.397	210.03	210.047	232.918	2.858	3.535	2.643	32.704	36.269	40.158	33.922	48.672	46.617	50.308	105.816	82.413	94.869	91.238
ACOT7	33.721	15.463	33.52	14.71	64.074	81.554	70.063	36.586	40.18	33.025	80.267	82.106	93.742	74.608	10.423	6.144	6.425	65.672	59.84	60.538	68.491	60.02	56.682	53.136	37.918	22.804	25.883	26.144
ACOT8	14.86	14.286	19.303	22.89	4.17	5.395	5.128	7.448	8.424	8.189	13.545	13.625	13.803	15.826	26.18	18.054	16.197	10.957	9.968	12.046	12.139	95.18	80.488	75.946	44.887	19.191	20.798	16.522
ACOT9	39.774	39.477	39.071	26.037	195.476	131.262	164.919	153.082	151.994	154.728	438.212	410.101	375.139	374.429	86.288	64.255	67.238	66.273	65.737	62.406	73.295	66.017	66.919	69.919	32.173	57.078	55.973	59.182
ACOX1	41.039	32.862	30.784	44.902	51.352	55.71	56.862	46.787	43.023	43.801	11.467	10.832	12.446	11.53	43.159	41.806	39.86	26.753	22.199	27.839	21.73	33.313	34.905	37.804	50.389	57.525	58.661	55.665
ACP1	154.923	123.206	138.467	142.09	48.428	42.212	44.692	83.647	89.436	90.055	362.698	376.401	328.424	350.325	62.736	65.584	53.035	114.629	124.676	129.221	127.089	71.911	74.469	77.723	96.121	51.019	51.198	53.574
ACP2	12.46	9.596	7.866	11.397	13.822	17.876	17.193	60.452	55.863	51.878	15.326	12.332	13.382	11.196	42.758	31.697	60.135	13.709	12.872	15.366	12.503	70.592	75.324	69.448	24.662	17.122	15.936	16.935
ACSF3	2.579	5.882	5.669	3.79	17.631	21.634	16.267	2.637	2.666	2.553	4.973	3.897	4.371	4.64	6.635	5.981	7.802	5.0	3.579	5.833	6.141	14.71	14.1	11.878	23.975	4.132	4.711	3.954
ACSL1	48.888	40.8	37.366	50.3	13.3	12.936	15.485	41.146	37.991	39.923	22.318	22.214	25.627	20.117	38.605	24.705	29.637	24.284	20.002	29.244	21.19	21.719	27.198	28.116	7.47	9.895	10.508	10.063
ACSL3	125.661	89.382	90.256	80.163	42.717	42.656	47.623	53.846	48.452	53.366	113.438	105.65	126.049	106.184	25.617	27.584	40.244	43.642	38.384	53.17	37.603	62.247	74.667	69.1	125.028	99.641	91.192	96.73
ACSL4	116.459	62.912	70.428	88.985	102.184	72.927	101.255	81.08	65.071	73.987	43.824	40.895	49.022	42.338	153.244	226.676	157.938	54.043	51.22	55.5	49.815	49.397	60.475	62.211	5.624	39.19	34.84	36.983
ACSS2	19.311	29.744	23.013	23.93	10.06	10.741	12.22	137.428	136.491	134.702	41.552	42.586	60.383	50.495	65.056	51.254	55.192	2.268	2.926	2.154	1.636	17.343	17.838	17.812	88.289	43.932	45.766	45.853
ACTA2	459.489	81.232	228.208	91.06	151.207	193.062	190.494	2049.151	2205.216	1923.434	10.829	16.095	13.611	10.688	9667.132	1621.828	5586.948	761.009	929.677	661.426	858.358	8915.946	8970.718	8888.376	20.467	2970.392	2866.005	3068.828
